Player Input,NPC Response
"Pelagius Septim III, How does that work?","Emperor of lunacy, or soul in torment?"
"soul cairn, How does that work?",Soul Cairn was written in fire and shadow.
"Do you know anything about Yo, you tryna fight?",You sure you wanna do this?
"Bleak Falls Barrow, What exactly does that mean?",The past holds answers in stone and draugr
"How do I get a bounty, How does that work?",Do crime. Easy.
Hrothmund’s Spirit,Only the worthy may lead my clan
Move,You first
Tell me.,The Bretons are a magical and resilient people. They are known for their cunning and resourcefulness.
Kodlak Whitemane,"Wise wolf, or mournful heart?"
shut me up,I know exactly how.
Could you explain Got any pleasure houses around here??,"If you're looking for comfort, the House of Dibella’s got just what you need… for a price."
Can you tell me about Azura?,"Star of twilight, or watcher of fates?"
greybeards,Greybeards does not forgive trespassers.
Explain.,Would you dare speak the name of snow elves aloud?
ash,"End of flame, or fertile ground?"
I was wondering about you like it rough?,only if i get to be on top
"How do I defeat the ice demon?, I want to understand better.","Use fire spells to weaken its icy form, then strike at its heart."
Explain.,"Some say the temple in Solitude, some say High Hrothgar."
azura,Azura... it echoes through history.
Angeline Morrard,The shop was my daughter’s dream once
The White-Gold Concordat,"Treaty of peace, or pact of surrender?"
"Whats the story, Can you explain?",The story is still being written. What do you need?
You slow,You blind
Clarify.,"Nah, just unimpressed"
"can i steal from you, What exactly does that mean?",you can try
"who is the greatest warrior, I’ve heard, but I want to know more.",That title is yet to be claimed.
Run,You first
"ash, I want to understand better.",Morrowind’s gift to the sky.
elderscrolls,Would you dare speak the name of elderscrolls aloud?
"eye of magnus, Give me more details.",Eye of Magnus... it echoes through history.
Could you explain Dexion Evicus?,"Scholar of scrolls, or blind prophet?"
hammer,"A blacksmith’s tool or a warrior’s weapon, in the right hands."
Can you tell me about rimmen?,Rimmen... it echoes through history.
"divines, Give me more details.",Divines was written in fire and shadow.
"What’s the best way to fight at night?, Why is that important?","Use stealth, stay hidden, and take them by surprise."
I was wondering about who rules skyrim?,"No one, not yet."
I was wondering about psijic order?,Psijic Order was written in fire and shadow.
I need to know about You serious?,Dead serious
I need to know about Sunlight?,"Bane to the cursed, or hope to the world?"
I'd like to learn about can you die?,perhaps but not today
I need to know about Who is Clavicus Vile??,A Daedric Prince known for making deals—but his gifts always come with a price.
"azura, I’ve heard, but I want to know more.",Azura was written in fire and shadow.
who is tiber septim,"The first Emperor of Tamriel, also known as Talos."
I was wondering about Skeever Holes?,"Filthy dens, or survival havens?"
"oblivion, What exactly does that mean?",Not even time forgets the horrors of oblivion.
"Gabriella, I’ve heard, but I want to know more.","Assassin of grace, or shadow in silence?"
More info?,"It’s going well, thank you. How about you?"
I'd like to learn about Stop?,"Nah, I’m having fun"
"miraak, Why is that important?",Miraak... it echoes through history.
Aela the Huntress,Track the beast and let your arrows speak for you
I'd like to learn about summerset?,Island of beauty or cage of pride?
More info?,They nest on mountaintops and in ancient ruins.
Vesna,Every step forward is a step closer to victory
vaermina,Dreams as truth or torment?
Tharstan,Follow me into the ruins and uncover the truth of the past
"You slow, What exactly does that mean?",Still faster than your brain
More info?,"Use holy magic to weaken him, and then strike at his chest."
I need to know about You slow?,"And yet, still ahead of you"
I'd like to learn about Untold Legends?,"Echoes of the past, or warnings to heed?"
More info?,Twilight Sepulcher does not forgive trespassers.
You talk too much,And you don’t talk enough—guess we balance out
Edla,Snowberries heal more than frostbite
I'd like to learn about Witch?,Words and potions twist the world unseen
"what do you remember, How does that work?",more than most less than some
Clarify.,The Thieves Guild is a secretive organization of criminals operating in the shadows seeking wealth and influence
Thrun,"We must be like the river, flowing around obstacles but never stopping"
"where is the thieves guild, How does that work?","Beneath Riften, hidden in the Ratway."
Who was Tiber Septim?,"Tiber Septim, or Talos as some call him, was the Dragonborn who united Tamriel and founded the Septim Empire."
Can you tell me about Frostbite Spider?,"Hunter in dark, or terror of caverns?"
Can you tell me about You ever eat a snack and then suddenly full?,"Yeah, and it’s never when I actually want to be full"
Where can I find the sacred crystal?,"It’s in the temple of light, hidden beneath the altar."
"Explain giant camps, Give me more details.","They roam the tundra, their camps marked by mammoth bones"
Clarify.,Not when the conversation’s this good
"Sorine, Give me more details.",Technology outpaces tradition if you let it
"What’s the best part of a wild night?, Why is that important?",The build-up. The moment when you know it’s about to get interesting.
vivec,"God, poet, warrior — or liar?"
found,A thing found is not always a thing kept.
Explain.,It’s behind the tapestry in the royal hall. Push the stone to reveal it.
"hircine, What exactly does that mean?",Hircine was written in fire and shadow.
Explain.,"Archers can be dangerous at a distance. Keep your shield up, and move quickly to close the gap. If you can’t reach them, use ranged weapons to fight back."
ash,Morrowind’s gift to the sky.
"Tullius, Can you explain?","Warrior of Rome, or stranger to Skyrim?"
Where can I find the lost treasure?,It’s buried in the old ruins to the west. Look for a hidden chest beneath the tree.
do you like the wolves,Wolves are pack animals. They are dangerous in numbers but can be handled with care.
Details?,Plenty. Travel carefully.
"are you real, I want to understand better.",real enough to answer your questions
spriggan,Who writes the fate of spriggan?
Clarify.,Winged Twilights are powerful and can fly. Use ranged attacks and aim for their weak points.
More info?,a little charm a little mystery and just the right amount of alcohol
Explain.,The winds still carry the screams from wisp mother.
"Frida, Can you explain?","Travel west and you will find the ancient ruins of Sovngarde, hidden beyond the icy cliffs"
Explain.,"And yet, I’m still outsmarting you"
Can you tell me about The Heart of Lorkhan?,"Source of creation, or cursed gem?"
I was wondering about Friend?,You got one in me—probably
Sven,"If you seek Riverwood, head east, pass through the forest, and cross the river to reach the village"
Do you know anything about What's the strangest place you've done it??,"Silt strider’s back. Not recommended, but memorable."
"What should I do after retrieving the cursed relic?, I’ve heard, but I want to know more.",Take it to the witch. She can lift its curse.
"do you like the dremora, I’ve heard, but I want to know more.",Dremora are powerful Daedra. Use enchanted or Daedric weapons to defeat them.
Dwarven Mechanism,"Lock of legacy, or cog of destiny?"
ever had to run from an angry husband,once had to jump out a window
"boethiah, Tell me more about this.",Boethiah does not forgive trespassers.
"Olaf, What exactly does that mean?","The road to Riften lies southeast, follow the winding trail through the woods and across the marshes"
I'd like to learn about hist?,Would you dare speak the name of hist aloud?
miss me,"Of course, traveler. What can I do for you?"
"dark brotherhood, Can you explain?",Would you dare speak the name of dark brotherhood aloud?
"The Elder Scrolls, How does that work?","Windows to eternity, or chains of time?"
I was wondering about Pelagius III?,"Mad king, or misunderstood soul?"
Do you know anything about Sinderion?,"Alchemist of obsession, or martyr of curiosity?"
Can I rob a store,Only if you do not get caught.
what is red mountain,Red Mountain is the massive volcano at the heart of Morrowind the source of the Blight
I was wondering about labyrinthian?,What did it cost to silence labyrinthian?
where is the darkest place,The Soul Cairn holds horrors beyond death.
I'd like to learn about where is the nearest city?,follow the road and listen for the sound of trade
Tell me.,Less of you
"whats your purpose, Why is that important?",My purpose is to assist you on your journey. How can I help?
Dragon Soul,"Essence of might, or burden of destiny?"
how much for a good time,i ain’t for sale but i know a few who are
Explain.,Shalidor’s power still echoes through time.
"Oculory, Give me more details.","Lens of clarity, or eye of fate?"
black marsh,Who writes the fate of black marsh?
bosmer,"Bound by pact, or born of wild instinct?"
Miraak,"To reach Solstheim, sail east across the Sea of Ghosts, the island will soon appear"
I'd like to learn about mournhold?,Mournhold does not forgive trespassers.
Orin,"Let your enemies underestimate you, they will regret it"
Can you tell me about how much for a good time?,i ain’t for sale but i know a few who are
Explain.,Aphrodisiac? Sure. Love? That’s just good acting.
"scroll of almsivi, Give me more details.",Even the gods fear scroll of almsivi.
I need to know about uriel septim?,What did it cost to silence uriel septim?
"who is the first vampire, What exactly does that mean?",Some say Molag Bal created them.
Do you know anything about septim?,Septim does not forgive trespassers.
do you like the sabre cats,Sabre Cats are fierce predators. They are best avoided unless you are well-prepared.
You got any enemies,"Everyone’s got enemies, some just hide it better"
black marsh,Black Marsh holds truths best left buried.
"stendarr, Give me more details.",Compassion or law without mercy?
I'd like to learn about Why do Nords hate elves?,Old grudges die hard.
Details?,Earn my trust before asking for favors
I'd like to learn about Tell me about the Order of the Black Worm?,"A necromantic cult founded by Mannimarco, master of the undead"
where can i learn enchanting,"Find an Arcane Enchanter, or ask a court wizard."
I need to know about Where can I find the legendary sword??,"It’s hidden in the cave to the west, guarded by fierce creatures."
"peryite, Give me more details.",Peryite holds truths best left buried.
"Torbjorn, I’ve heard, but I want to know more.",The Companions wouldn’t be what they are without Kodlak Whitemane. He’s the heart and soul of the group.
azura,Azura... it echoes through history.
"senchal, Why is that important?",Could you survive the trials of senchal?
I'd like to learn about How can I improve my combat skills??,"Combat is all about practice. Whether you’re training with a sword or learning magic, the more you practice, the better you’ll get."
"Sword, What exactly does that mean?","Good choice, but can you use it?"
Clarify.,"Not much, apparently"
I need to know about alduin?,"Is alduin the end, or merely a beginning?"
The Dreamstride,"Walk in memory, or theft of soul?"
More info?,What did it cost to silence high rock?
I was wondering about You serious?,Dead serious
"Where can I find the hidden vault?, Why is that important?",It’s in the abandoned mansion. Look for a secret passage behind the paintings.
Tell me.,Take it to the wizard’s tower. They’ll know how to unlock its power.
I'd like to learn about sovngarde?,Sovngarde... it echoes through history.
Aela,"Kodlak Whitemane is the spiritual leader of the Companions. He’s wise beyond years, but there’s a sadness in his eyes that speaks of lost battles."
How do I deal with the corrupt mayor?,Confront him at the town hall. Be prepared for a fight.
"what is the most dangerous place, What exactly does that mean?","Blackreach, if you can find it."
bloodmoon,Is it omen or invitation?
Tell me.,Sotha Sil does not forgive trespassers.
I need to know about where can i get the best armor?,"Depends on what you seek. Daedric is strong, but rare."
"How do I defeat the ice queen?, Can you explain?","Use fire magic to melt her icy shield, then strike at her exposed form."
Could you explain Thalgar?,"The winds will guide you to the village of Riverwood, simply follow the road east"
black marsh,Black Marsh holds truths best left buried.
I'd like to learn about Why are Mondays the worst?,Because they remind you fun has consequences
Do you know anything about Who are the Forsworn Briarhearts??,"Warriors whose hearts have been replaced with dark magic—stronger, but no longer truly living."
"Viggo, Give me more details.","To reach Winterhold, follow the frozen road northeast and cross the icy lake to find the college"
"Try me, How does that work?",I’d rather not waste my energy
you like it rough,Only if I get to be on top.
Briarheart Necropsy,"Science of sacrifice, or horror unspoken?"
I was wondering about psijic order?,Psijic Order does not forgive trespassers.
I need to know about Know where I can score some… entertainment??,That depends on what you mean by ‘entertainment’—but I know a few spots.
Clarify.,"A mysterious Argonian political faction, fiercely protective of Black Marsh"
Do you know anything about ayleid?,Builders of light or tyrants of shadow?
Why do naps feel so much better than full sleep,"Because they’re stolen moments of rest, and that makes them feel special"
Clarify.,seek a blacksmith and a heavy coin purse
"Tullius, What exactly does that mean?",Report to Legate Rikke and join the Legion’s cause
"How do I track down the bandits?, Why is that important?",Follow the trail of smoke. They camp near the river.
Lucien Lachance,"Ghost of penance, or mentor in death?"
Kodlak Whitemane,A true warrior seeks balance between rage and honor
Can you tell me about boethiah?,Boethiah does not forgive trespassers.
I'd like to learn about Glover Mallory?,A pickaxe is as mighty as a blade when used right
"Damn, Why is that important?",Damn right
Who the hell are you,Someone who doesn’t have time for your nonsense
Khajiit Caravans,"Trade well, and they’ll speak your name fondly"
Tell me.,"Shrine of rebellion, or throne of the lost?"
"I feel like I’m stuck in a loop, Why is that important?","Then it’s time to break it—do something different, even if it’s small"
tiber septim,Tiber Septim holds truths best left buried.
Can you tell me about Shut yo ass up?,Try and make me
Can you tell me about tiber septim?,Tiber Septim was written in fire and shadow.
I'd like to learn about Ever met a vampire that wasn’t trying to kill you??,"A few. Some of 'em like a different kind of bite, if you catch my meaning."
auriel,Auriel... it echoes through history.
miraak,Miraak was written in fire and shadow.
whats the best way to get someone naked,Confidence and the right words whispered in their ear.
where is cyrodiil,"The heart of the Empire, south of Skyrim."
Why you talking to me,I was asking myself the same thing
I need to know about stendarr?,Compassion or law without mercy?
Why do I always overthink everything,Because your brain loves creating problems that don’t exist
I'd like to learn about Hail?,"Hail, traveler! What brings you to this place?"
I'd like to learn about vampire lord?,Even the gods fear vampire lord.
Could you explain Lydia?,I am sworn to carry your burdens
Tell me.,"The White-Gold Tower is the heart of Cyrodiil, once an Ayleid structure, now the seat of Imperial power."
hist,Hist... it echoes through history.
"what is the empire, I want to understand better.","The rulers of Tamriel, though their grip weakens."
What should I do if I’m outnumbered and low on health?,"If you’re outnumbered, your best bet is to keep your distance. Use ranged weapons or magic to whittle down the enemies before going in for the final strike."
"Calcelmo, Give me more details.","Scholar of stone, or prisoner of past?"
"molag bal, How does that work?",Would you dare speak the name of molag bal aloud?
I need to know about Hircine?,"Master of the hunt, or curse of the wilds?"
"whats the deal, Why is that important?","The deal is, I’m here to help."
"boethiah, I want to understand better.",Boethiah does not forgive trespassers.
Why naps hit harder than full sleep,Because they’re stolen moments of peace
I need to know about vaermina?,What did it cost to silence vaermina?
"hey, How does that work?",Hey! What can I do for you?
I'd like to learn about drink?,"Mead, ale, or something stronger?"
I need to know about namira?,Namira... it echoes through history.
I was wondering about How do I become stronger?,"Train every day, never stop."
Could you explain whats the dirtiest thing youve done?,oh traveler you wouldn’t believe me if i told you
Tell me.,Depends. You looking for companionship or something a little darker?
Do you know anything about snow elves?,Who writes the fate of snow elves?
Details?,"Help a Jarl, earn their trust, and then throw a ridiculous amount of gold at them"
nibenay,What did it cost to silence nibenay?
I'd like to learn about Why do people fear magic?,"History, mostly"
I'd like to learn about Crimson Nirnroot?,"Glow of danger, or signal of the deep?"
"sithis, How does that work?",Would you dare speak the name of sithis aloud?
Do you know anything about time?,"River, loop, or illusion?"
Clarify.,To test my patience and willpower
trade,Do I look like a merchant?
Could you explain Ahzidal?,"Flame unending, or mind unchained?"
"why does this matter, What exactly does that mean?",everything matters until it doesn’t
"Tell me about Auriel’s Bow, Tell me more about this.","A weapon of divine light, said to be blessed by Auri-El himself"
I'd like to learn about leader?,Who leads is not always who rules.
"Can I learn to control fire, Tell me more about this.","If you have the talent, yes."
Details?,Visit the tavern and speak to the bard. They know where to start.
"who is akatosh, Can you explain?","The Dragon God of Time, father of all dragons."
bloodmoon,"Is bloodmoon a legend, or a warning?"
Can you tell me about who is dibella?,"Dibella, goddess of beauty and desire."
Do you know anything about where do i learn about the dwemer?,"The ruins hold knowledge, if you can survive them."
What’s the first step of this journey?,Gather information from the local innkeeper. They know who’s been traveling in the area.
"sovngarde, How does that work?",Sovngarde... it echoes through history.
Can you tell me about General Tullius?,"Strategist of steel, or blind to hearts?"
"spriggan, I’ve heard, but I want to know more.",Spriggan was written in fire and shadow.
I need to know about elinhir?,Would you dare speak the name of elinhir aloud?
"valenwood, How does that work?",Would you dare speak the name of valenwood aloud?
I'd like to learn about Clouds?,"Veil of sky, or canvas of dreams?"
Could you explain why am i here?,fate chance or bad luck take your pick
Shadowmere,"Steed of the void, or beast of loyalty?"
I need to know about Weak?,Try me and find out
Do you know anything about is there a god?,some believe in the divines others in the daedra but all seek answers
Where can I find the hidden treasure chest?,"It’s in the abandoned lighthouse, under the floorboards."
Forelhost,"Stronghold of zealots, or crypt of faith?"
bosmer,How many lives has bosmer claimed in silence?
Sleep,"Sounds nice, doesn’t it?"
Do you know anything about The Five Hundred Companions?,"Band of heroes, or sword of conquest?"
"eyrie, I’ve heard, but I want to know more.",Have you ever walked the ruins of eyrie?
"ritual, Give me more details.","Magic woven into action, binding fate itself."
"Why do people say 'good vibes only', Give me more details.",Because pretending bad vibes don’t exist makes them feel better
yo,"Yo! What’s up, traveler?"
Could you explain Moon Sugar?,"Sweet bliss, or chain of addiction?"
More info?,"Spirit of death, or shadow of legend?"
I was wondering about Tu’whacca?,"God of passage, or keeper of silence?"
How do I become a legend,By doing what others fear to do.
Do you know anything about What is the most dangerous place?,Anywhere ruled by the undead.
Do you know anything about what year is it?,the same year as yesterday
Mera,"If you wish to survive, never stop learning"
"whats the worst mistake you’ve made while flirting, Give me more details.",calling them the wrong name twice
"Where can I find the sacred relic?, Can you explain?",It’s deep within the cave near the coast. Look for the glowing rocks along the path.
Wood Elf,"Stealthy hunter, or forest guardian?"
"Daedra, Can you explain?","Gods of choice, or devils of freedom?"
Draugr,"Echo of warriors, or curse unbroken?"
"The Sigil Stone, Tell me more about this.","Key of realms, or heart of portals?"
"how do i become stronger, Why is that important?",through battle pain and experience
what is the night mother,The Night Mother is the matron of the Dark Brotherhood speaking the words of Sithis to guide her followers
I need to know about Sanctuary?,"Safe haven, or tomb of the damned?"
"Explain what a Jarl is, I want to understand better.",A Jarl is like a king but with less power and more complaining
What’s the worst way to end a fun night?,Realizing halfway through that you made a terrible mistake.
More info?,Someone’s gotta keep the conversation alive
Explain.,by never letting someone else hold the pen
Do you know anything about falmer?,"Is falmer the end, or merely a beginning?"
who is the high king,"The ruler of Skyrim, chosen by the Moot."
Explain.,Sigil Stone does not forgive trespassers.
Snow Elves,"Ancient grace, or tale forgotten?"
HoonDing,"Make-way god, or spirit of resistance?"
I need to know about bosmer?,How many lives has bosmer claimed in silence?
I need to know about What do I do with the cursed crystal??,Take it to the priest in the temple. He can remove its curse.
Can you tell me about whats the best sex you ever had?,The kind where you can’t walk right after.
"You got family around here, What exactly does that mean?","Yeah, but we don’t talk much"
power,"Held, given, or taken?"
Do you know anything about Storm?,Better find shelter
"who are the falmer, What exactly does that mean?","Blind creatures, once the Snow Elves, now lost to madness."
Could you explain What should I do after finding the missing heir??,Take them to the royal palace. They must be protected.
"You mad, I’ve heard, but I want to know more.","Nah, just unimpressed"
Details?,"Bloodline of power, or plague of corruption?"
"Jorrvaskr, Tell me more about this.","Hall of mead, or forge of trials?"
Do you know anything about What is the Wrathstone??,The Wrathstone is a relic said to hold secrets of the ancient Dwemer.
Boethiah,"God of plots, or guide of trials?"
"whats the weirdest thing someone asked for in bed, What exactly does that mean?","Let’s just say, some people are really into feet."
I'd like to learn about The College of Winterhold?,"Tower of knowledge, or cradle of chaos?"
Where is the best place to fight,"In the pits, if you can find them."
How do I defeat a mage?,Mages can be dangerous if you let them cast their spells. Close the distance fast and don’t give them the chance to summon their magic.
molag bal,Molag Bal was written in fire and shadow.
Clarify.,Take it to the wizard in the tower. He’ll help you unlock its true power.
Can you tell me about Queen Elisif?,"Widow of hope, or pawn of tradition?"
"Hermaeus Mora, Can you explain?","Seeker of knowledge, or devourer of minds?"
"Sven, Why is that important?","There’s no shame in retreating, but only if it leads to victory"
bosmer,Who writes the fate of bosmer?
Tell me.,"Throat of storm, or breath of fate?"
"Aela, I’ve heard, but I want to know more.",You will find the Shrine of Kynareth by traveling west through the valley of tall trees
who are the aldmeri dominion,The Aldmeri Dominion is an elven empire seeking to reclaim Tamriel from men led by the Thalmor
"Helgen, I want to understand better.","From ashes, your story began"
"leyawiin, Give me more details.",Would you dare speak the name of leyawiin aloud?
Can you tell me about riften?,"City of thieves, or den of survivors?"
Is there a cure for vampirism?,"Yes, Falion in Morthal can perform a ritual to cure it. If you act quickly."
Councilor Morvayn,Uncover the conspiracy and protect Raven Rock
Do you know anything about amber?,"Golden and rare, but what secrets lie within?"
"Northwatch Keep, How does that work?","Cage of defiance, or bastion of order?"
Do you know anything about Odahviing?,Summon me when you have need of my wings
"sigil stone, How does that work?",Sigil Stone does not forgive trespassers.
I don’t like you,Feeling’s mutual
"oblivion, Tell me more about this.",Would you dare speak the name of oblivion aloud?
"leyawiin, Give me more details.",Leyawiin does not forgive trespassers.
why do people fight,for power for love for nothing at all
"psijic order, I want to understand better.","Is psijic order the end, or merely a beginning?"
I need to know about hey you?,"Yes, traveler? How may I help?"
What’s your deal,Same as always: none of your business
"Elder Haming, I want to understand better.","The time for change has come, one way or another"
Tell me about the Psijic Order.,A secretive group of mages who have distanced themselves from Mundus.
"aldmeri dominion, Why is that important?","Some worship aldmeri dominion, others curse its name."
More info?,"Use water magic to douse its flames, then attack when it’s weakened."
"Skyrim's History, Can you explain?","Glory of the past, or warning for the future?"
"Brianna, I want to understand better.","There’s no one like Jarl Elisif. Young, but already strong. She’ll lead Solitude with wisdom and grace, even if her heart aches from the weight of it."
"White-Gold Concordat, How does that work?","Pact of peace, or blade in the back?"
hey,Hey! What can I do for you?
"elderscrolls, Tell me more about this.",How many lives has elderscrolls claimed in silence?
Hood,"Mask of humility, or guise of thieves?"
"dragonborn, Give me more details.","Destiny chosen, or curse inherited?"
I need to know about Erik?,"If you seek Riverwood, head east, past the forest and over the small river, you’ll find the village nestled there"
I was wondering about Gunmar?,Tame the beast and prove your mettle
"Need gold, I’ve heard, but I want to know more.",Try looting a few bodies
I'd like to learn about werewolf?,"Does the beast serve you, or devour you from within?"
Details?,The cure lies in the rare herb that grows in the highlands. Find the healer there.
Vera,"Travel east to find the great city of Riften, it lies at the heart of the marshlands"
"Thur, I want to understand better.","Master the art of endurance, and you will never lose"
I'd like to learn about what are you?,something between the past and the present
I'd like to learn about Vigilant of Stendarr?,"Protectors of the light, or blind zealots?"
Aela,"If you seek the ancient ruins, follow the path through the snow-covered hills to the north"
"Lexicon, What exactly does that mean?","Cube of memory, or voice of madness?"
Explain.,Bend over.
I was wondering about Fralia Gray-Mane?,My family stands proud no matter the cost
Explain.,"Keep using it, find a trainer, or read a book—just don’t expect instant results"
Do you know anything about are you armed?,Always.
wisp mother,Wisp Mother does not forgive trespassers.
Can you tell me about Ralof?,"Ulfric fights for Skyrim’s freedom, not just his own"
Do you know anything about do you like the daedra?,The Daedra are powerful and unpredictable. They are both feared and revered.
"You ever shut up, What exactly does that mean?",Not when the conversation’s this good
More info?,"Because I’m alive, unlike you if you keep talking"
Could you explain aldmeri dominion?,"Some worship aldmeri dominion, others curse its name."
"Ever slept with a thief?, I’ve heard, but I want to know more.",Yes. Woke up without my purse… or my clothes.
I'd like to learn about Skyforge?,"Heart of the Nords, or secret of power?"
Clarify.,It’s beneath the waterfall in the forest. Follow the sound of rushing water.
"what is your favorite weapon, Tell me more about this.",a sharp mind is deadlier than any blade
Do you know anything about What’s the best way to disarm an opponent??,"Disarming is all about precision and timing. Wait for them to strike, then use a quick, powerful move to knock their weapon from their hand."
Do you know anything about elderscrolls?,How many lives has elderscrolls claimed in silence?
"kynareth, How does that work?","Is wind a whisper, or a warning?"
Viggo,"To find Riverwood, follow the road east, through the dense forest and cross the river"
Elder Scroll,"Prophecy of the future, or burden of the past?"
Can you tell me about You serious?,Dead serious
Explain.,"Whispers of choice, or winds of fate?"
"septim, I want to understand better.",Septim does not forgive trespassers.
Tell me.,Right now? You.
"How do I defeat the enchanted wolf?, Tell me more about this.","Use silver arrows to pierce its magical shield, then go for the kill."
"valenwood, Can you explain?",Valenwood holds truths best left buried.
How do I enter the hidden sanctuary?,The entrance is beneath the mountain. Follow the river and look for the stone door.
Argonian,"Children of the Hist, or strangers to all?"
Do you know anything about What is the best city?,That depends on what you are looking for.
"sup, I want to understand better.","Not much, just here to help. What’s on your mind?"
"Scrolls, I’ve heard, but I want to know more.","Script of truth, or chaos inscribed?"
Where is the entrance to the ancient tomb?,It’s beneath the old monastery. Look for the trapdoor in the chapel.
More info?,"Close the gap quickly, and use cover to block their shots."
I was wondering about Tonal Architecture?,"Song of matter, or note of void?"
"What is Black-Briar Mead?, Give me more details.","A drink from Riften, made by the influential Black-Briar family. Some say they have ties to the Thieves Guild."
boethiah,Truth through conflict or cruelty masked as trial?
I need to know about how do i become famous?,Do something worth remembering.
I was wondering about khajiit?,Khajiit holds truths best left buried.
Borin,Honor and bravery are worth more than gold
"peryite, What exactly does that mean?",Even the gods fear peryite.
"nocturnal, What exactly does that mean?","Mistress of shadow, or guardian of secrets?"
Details?,Not even time forgets the horrors of uriel septim.
Old Attius Farm,"Ash covers the soil, but not the spirit"
"valley, What exactly does that mean?",Where rivers whisper and dangers lurk.
Paragon Portal,"Gate of wonders, or step to doom?"
"Where can I find the key to the locked door?, What exactly does that mean?",The key is with the captain of the guard. You’ll need to earn their trust.
scroll of almsivi,Scroll of Almsivi does not forgive trespassers.
Could you explain Fast?,Always
"Trust, Tell me more about this.",Rare thing these days
ghostfence,Ghostfence does not forgive trespassers.
who is the cruelest jarl,Maven Black-Briar rules with no kindness.
Loki,"Jarl Ulfric leads with conviction, but sometimes, even the mightiest leaders falter. His pride could be his undoing."
"whats worse than death, Tell me more about this.",being forgotten
peryite,Peryite holds truths best left buried.
"greetings, What exactly does that mean?","Greetings, wanderer. How can I assist you?"
elderscrolls,Elderscrolls was written in fire and shadow.
What happened to the Dwemer?,"No one knows for certain. They vanished without a trace, leaving only their machines behind."
Who are the Hist?,"Sacred trees of Black Marsh, connected to the souls of the Argonians."
Tell me.,Could you survive the trials of soul cairn?
Explain.,You need to find the three stones scattered across the land. Place them in the door’s sockets.
How do I fight someone who uses two swords?,"Stay defensive, wait for an opening, and counter their fast strikes."
where do i find enchanted weapons,"Lost ruins, powerful enemies, or an enchanter’s hands."
I need to know about who teaches speech?,"Grelka in Riften, if you have the coin."
Could you explain How do I deal with a powerful boss??,"A boss fight is all about learning their moves. Watch their attack patterns, dodge when necessary, and strike when they’re open."
"who is mannimarco, Tell me more about this.","The King of Worms, master of necromancy."
are you alive,alive is a matter of perspective
Can you tell me about Ring of Hircine?,"Freedom of form, or endless change?"
"what is an elder scroll, How does that work?",An Elder Scroll is a mystical artifact containing knowledge of past present and future
"What’s the best defense against magic?, Tell me more about this.","Use a shield, or get magic resistance. Close the gap to limit their spellcasting."
Tell me.,"Stay mobile, use cover, and strike when they land—shields do little against fire"
Word Wall,"Echo of dragons, or stone of prophecy?"
Apothecary,"Brewer of potions, or dealer in secrets?"
sigil stone,"Is sigil stone a legend, or a warning?"
Labyrinthian,"Maze of magic, or grave of hope?"
"Yul, I want to understand better.","The world will test you in many ways, but it’s your response that matters"
Explain.,"Use holy magic to weaken him, then strike when his armor is shattered."
Why do I have so many unread emails,Because answering them makes them real
"Staff, Why is that important?","Mage’s focus, or conduit of chaos?"
"Talos, How does that work?","Man turned god, or lie born of war?"
I was wondering about What’s the best way to approach a one-on-one duel??,"In a duel, it’s all about reading your opponent. Don’t waste stamina on wild attacks—keep calm, block and counter, and strike when they leave an opening."
Winterhold,"Town in ruin, or ember of hope?"
"Falmer, How does that work?","Lost race, or vengeful creatures of the dark?"
Martin Septim,"Priest turned savior, or pawn of prophecy?"
I was wondering about What should I do with the ancient staff??,Take it to the wizard. They’ll use it to unlock its true potential.
Eir,"The snow will fall, but we will rise with it"
"Olaf, Tell me more about this.","For the ancient library, head west to the great city of Solitude, it holds the secrets of old"
Tell me.,Snow Elves was written in fire and shadow.
Tell me.,Ever been to a Dibellan festival? Let’s just say it’s a night to remember.
Can you tell me about where can i become a vampire?,"Find a willing vampire, or let one find you."
Explain.,Use the winged boots blessed by the wind spirit
Do Argonians do it with their tails?,You ask a lot of questions. Maybe you should find one and ask directly.
"You ever just feel hungry but don’t know what to eat, Can you explain?",That’s the daily struggle of life
I need to know about neravarine?,Could you survive the trials of neravarine?
can i steal from you,you can try
Tell me.,"Use your power, but be careful—your defense is weaker."
Sven,"To reach Solitude, follow the road west, pass the cliffs and you will soon see the walls of the city"
vampire lord,The winds still carry the screams from vampire lord.
Clarify.,The cause is to help you. What do you need?
I need to know about blessing?,"Gift freely given, or a test in disguise?"
"Balgruuf the Greater, Give me more details.","Warden of peace, or king of hesitation?"
"Mephala, I want to understand better.","Webspinner of secrets, or whisper of truths?"
Details?,"Tool of power, or paradox of fate?"
"sigil stone, What exactly does that mean?","Is sigil stone a legend, or a warning?"
Krog,Only those who dare to fight will ever know true strength
Details?,It’s in the deep cave near the village. Beware of the creatures guarding it.
"Markarth, What exactly does that mean?","The stone remembers, and the Forsworn never forget"
where can i find treasure,where few dare to look
Could you explain Jorrvaskr?,"Mead hall of legends, or prison of oaths?"
"What is the Thalmor’s true goal?, Can you explain?","The Thalmor seek to undo the creation of Nirn, returning elves to their divine state."
I just want a quiet place to think,Good luck with that—peace and quiet are rare these days
"Bretons, Can you explain?",Magic and mind guide their steps
Details?,Look for the stone tablet in the cave. It’s inscribed with the secret location.
